SCHOOLID,SCHSIZE,RATCMP15,PROPQUAL,PROPCERT,SMRATIO,RESPCUR,maths,read,scie
0000053,898.0,0.733,0.0,,138.154,1.44,552.779365925926,535.12042,573.047648888889
0000054,895.0,0.581,1.0,1.0,137.692,1.44,462.5768484615384,446.0974676923077,458.80340230769235
0000055,1102.0,0.851,1.0,1.0,137.75,1.44,480.8764095652174,501.3937652173913,515.0179208695652
0000056,,,,,,-0.81,495.02259000000004,513.4176183333332,509.9838333333334
0000057,,,,,,-0.81,481.4241399999999,467.02432,481.5489353846154
0000058,430.0,0.66,,,95.556,1.44,625.3290991666667,628.0252441666668,606.6828283333334
0000059,1587.0,0.304,1.0,1.0,158.7,-0.43,448.2533853846154,484.6729684615385,463.79938769230773
0000060,1011.0,1.361,,,155.538,1.44,438.38784153846166,437.72692000000006,438.68677076923075
0000061,868.0,0.543,0.083,1.0,96.444,-0.43,485.81943900000005,518.223706,519.433045
0000062,163.0,1.0,1.0,1.0,108.667,1.44,433.8813627586207,436.3561193103449,456.04959448275866
0000063,792.0,1.984,0.957,0.935,132.0,1.44,364.68297299999995,338.231989,381.229022
0000064,1062.0,0.261,1.0,1.0,118.0,1.44,454.01412666666664,469.66861200000005,471.45965466666667
0000065,,,,,,-0.81,402.38922,386.5288827272727,386.5747181818181
0000066,993.0,,1.0,0.871,82.75,1.44,598.736775862069,594.2175179310345,635.6435427586207
0000067,856.0,0.836,1.0,1.0,,0.03,448.8882436363636,451.72457909090906,465.90400181818177
0000068,391.0,0.526,1.0,1.0,111.714,1.44,421.2288818181818,437.2192918181819,432.5972318181818
0000069,987.0,0.904,1.0,0.983,197.4,1.44,461.149940952381,469.11255333333327,446.4281266666667
0000070,973.0,0.704,1.0,1.0,149.692,1.44,456.7802945454546,488.6971581818182,483.36696
0000071,1750.0,1.011,,,129.63,1.44,574.7425207407407,555.237474814815,615.5621881481482
0000072,997.0,0.576,1.0,1.0,142.429,1.44,461.698899047619,464.8077704761905,465.0246038095238
0000073,902.0,0.968,1.0,1.0,112.75,1.44,524.1145613793103,514.1822496551724,516.5294710344828
0000074,1113.0,0.824,1.0,0.973,123.667,1.44,469.80809333333326,514.7463214814815,493.2853977777778
0000075,887.0,0.815,1.0,1.0,177.4,1.44,435.7765992000001,440.1823600000001,431.8463256
0000076,761.0,1.026,1.0,1.0,108.714,0.03,460.3598728571428,434.74993857142863,456.42683500000004
0000077,,,,,,-0.81,585.9648910344828,587.8296144827586,598.4372772413792
0000078,1083.0,0.821,1.0,1.0,154.714,0.03,455.7102115384615,443.44071923076916,483.24893153846153
0000079,1379.0,0.417,,,,1.44,542.9111344827586,572.6136165517241,610.1737627586207
0000080,588.0,1.185,0.988,0.977,117.6,-0.43,442.6240569230769,440.40487538461537,451.36860230769224
0000081,247.0,0.797,0.982,0.946,82.333,1.44,563.0725175,595.974825,601.6745883333334
0000082,492.0,0.649,0.948,0.966,82.0,1.44,510.58742857142863,535.9316078571429,526.0836835714285
0000083,973.0,1.238,0.682,,108.111,1.44,488.0511,491.6131514285715,481.2843021428572
0000084,564.0,,1.0,1.0,94.0,-0.67,448.00257928571426,448.86745,467.27367142857145
0000085,1097.0,0.72,1.0,1.0,137.125,-0.43,478.38042173913044,484.36702869565215,499.63592782608686
0000086,1233.0,1.291,1.0,1.0,145.059,0.03,484.38874827586204,499.9817075862069,507.14349931034485
0000087,1144.0,1.357,1.0,1.0,104.0,0.03,508.98437310344826,519.0011110344827,532.8544434482758
0000088,232.0,0.741,1.0,1.0,116.0,0.03,428.6511192307692,432.991983076923,438.8517484615384
0000089,1401.0,0.239,1.0,1.0,155.667,1.44,559.9000268965517,581.6316510344827,588.0738
0000090,1206.0,0.418,,,134.0,1.44,510.93022,509.1642955555555,516.8255340740741
0000091,1313.0,0.392,1.0,1.0,187.571,1.44,456.4118905263158,462.55157684210525,464.4408021052632
0000092,982.0,1.153,1.0,1.0,140.286,0.03,454.74178416666666,448.17598,472.27636583333333
0000093,952.0,1.548,1.0,0.991,136.0,-0.43,499.84921999999995,514.1286557142856,510.9474071428572
0000094,1873.0,0.669,0.986,0.986,129.172,1.44,493.21006,533.3024092307693,546.9019876923078
0000095,223.0,,0.966,1.0,74.333,-0.25,378.8916566666666,359.46445222222223,353.5382744444444
0000096,1026.0,,,,128.25,1.44,463.7612238095238,468.27882571428574,501.77349904761905
0000097,534.0,0.905,,,,1.44,449.95949599999994,447.1280304,435.41216080000004
0000098,1290.0,1.038,,1.0,143.333,1.44,472.2285666666668,477.5664103703704,480.94547555555556
0000099,2014.0,0.958,,,175.13,1.44,515.5837578571429,501.0195228571429,539.8978257142857
0000100,783.0,1.144,1.0,1.0,130.5,1.44,432.82998761904764,463.4981228571428,431.0465161904761
0000101,1177.0,1.863,1.0,1.0,130.778,1.44,520.7365169230769,534.8935584615385,538.7965130769231
0000102,797.0,0.721,0.963,0.963,99.625,1.44,434.81504333333334,399.84890333333334,441.27501888888884
0000103,920.0,0.707,,,115.0,-0.67,472.0244592857142,490.91540857142854,475.22646000000003
0000104,1061.0,1.007,1.0,0.982,151.571,1.44,466.9697128571428,474.0662942857143,479.4359778571428
0000105,708.0,0.328,1.0,1.0,141.6,1.44,449.43851583333327,472.9680258333334,481.84212750000006
0000106,1255.0,0.718,1.0,1.0,167.333,1.44,472.46294689655167,466.44277448275864,510.9506193103448
0000107,1090.0,1.041,1.0,1.0,155.714,1.44,501.20346,506.3253419999999,509.907681
0000108,724.0,0.73,1.0,1.0,160.889,1.44,440.29607894736836,421.24379157894737,448.1517084210526
0000109,630.0,0.787,,1.0,140.0,1.44,419.44339714285707,411.25343904761905,423.25802190476196
0000110,1538.0,0.805,1.0,1.0,139.818,1.44,532.1671648275862,534.1711868965517,559.1409531034482
0000111,2041.0,0.171,0.985,0.985,157.0,1.44,515.7394444444445,537.701148888889,547.6149029629629
0000112,1248.0,0.831,0.962,0.955,124.8,1.44,443.54080999999996,468.2722461538462,461.3247084615385
0000113,664.0,0.712,1.0,1.0,132.8,1.44,407.65766454545457,440.69419000000005,427.5702754545455
0000114,890.0,,,1.0,148.333,1.44,462.01233142857143,485.02201214285714,499.914075
0000115,1246.0,0.411,1.0,1.0,118.667,1.44,527.2900757142856,546.9415428571428,549.3625764285714
0000116,,,,,,-0.81,487.71170571428576,504.0776314285714,515.2057647619048
0000117,1351.0,1.646,1.0,1.0,135.1,-0.67,466.78177703703705,486.2051133333333,477.4469140740741
0000118,1234.0,2.198,,,,-0.43,489.89458333333334,500.01584,480.40842833333335
