SCHOOLID,ST04Q01,ST86Q01,ST86Q02,ST86Q03,ST86Q04,ST86Q05,ST87Q01,ST87Q02,ST87Q03,ST87Q04,ST87Q05,ST87Q06,ST87Q07,ST87Q08,ST87Q09,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q04,ST89Q05,ST91Q01,ST91Q02,ST91Q03,ST91Q04,ST91Q05,ST91Q06,ST93Q01,ST93Q03,ST93Q04,ST93Q06,ST93Q07,maths,read,scie
2,Male,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Not at all like me,Not at all like me,Very much like me,Mostly like me,Mostly like me,462.69668,457.89238000000006,454.99814
2,Male,,,,,,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Somewhat like me,Somewhat like me,Not much like me,Not much like me,Somewhat like me,328.64154,325.41106,379.00038
2,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Not much like me,Somewhat like me,Somewhat like me,Somewhat like me,315.16592,378.2592,398.58263999999997
2,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not much like me,Not much like me,Mostly like me,Not much like me,Not much like me,402.17323999999996,438.08432000000005,461.71202000000005
2,Male,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,,,,,,382.15454,400.23254000000003,436.53489999999994
2,Male,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,,,,,,509.97817999999995,531.83172,517.19506
2,Male,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,,,,,,368.52314000000007,388.7647,381.05183999999997
2,Male,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Not much like me,Not much like me,Somewhat like me,Not much like me,Not much like me,391.57968,419.6396,403.89777999999995
2,Male,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Very much like me,Mostly like me,Somewhat like me,Not at all like me,Not at all like me,380.59666000000004,399.51077999999995,371.6337
3,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat like me,Not much like me,Very much like me,Very much like me,Not much like me,320.54056,405.26096,333.30846
3,Female,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,,,,,,390.48915999999997,428.3754,452.2006600000001
