SCHOOLID,W_FSTUWT,ST86Q01,ST86Q02,ST86Q03,ST86Q04,ST86Q05,ST87Q01,ST87Q02,ST87Q03,ST87Q04,ST87Q05,ST87Q06,ST87Q07,ST87Q08,ST87Q09,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q04,ST89Q05,ST91Q01,ST91Q02,ST91Q03,ST91Q04,ST91Q05,ST91Q06,maths,read,scie,SCHOOLID,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,schoolmath,schoolread,schoolscie
11,113.3144,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,360.73376,383.31152,445.39349999999996,0000011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
11,115.8859,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,528.6727,535.60726,551.7903600000001,0000011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
11,113.3144,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,359.02009999999996,385.63712,401.84633999999994,0000011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
11,113.3144,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,604.22964,574.73576,609.9775999999999,0000011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
12,8.1764,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,570.26794,561.82448,614.7333,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,674.10034,714.80362,769.80604,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,625.7283,672.0697200000001,702.8534,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,668.49198,675.5402799999999,753.3009999999999,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,530.46424,607.1746,578.45952,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,638.42502,588.60942,643.1742,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Disagree,614.9010800000001,598.95454,657.44126,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,649.7196,648.11376,708.1686,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,628.0651399999999,623.8148199999999,648.5826199999999,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,694.66428,664.3932400000001,736.98246,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,635.30922,668.01876,715.44198,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,572.52688,615.59428,634.5953000000001,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,530.77584,584.8544800000001,557.29206,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,596.9855,629.0975599999999,627.1353799999999,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
12,8.1764,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,684.92754,722.61446,764.77062,0000012,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,3,3
13,84.6977,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,447.58527999999995,457.68544,460.40656,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,74.1638,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,556.55866,541.69564,613.7075600000001,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,74.1638,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,505.61616000000004,455.00536,534.35284,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,74.1638,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,490.42683999999997,466.07220000000007,486.88919999999996,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,74.1638,Strongly disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,583.43198,536.1622199999999,559.8097999999999,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,84.6977,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,450.85681999999997,519.8799200000001,531.46212,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,74.1638,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,534.98208,510.82074,588.99664,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,74.1638,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,466.27979999999997,418.99804000000006,431.0332,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,74.1638,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,627.2083,575.4575199999999,628.0679,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,74.1638,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,628.61036,557.49396,627.78814,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,84.6977,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly disagree,573.15002,590.41466,651.0071,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,84.6977,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,523.53172,572.9398199999999,623.7784399999999,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,84.6977,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,448.6757799999999,456.81170000000003,489.59346000000005,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,84.6977,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,447.66318,532.19172,517.19508,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,74.1638,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,663.66256,618.7625599999999,692.4095599999999,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,84.6977,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,577.2005,573.4164,604.28944,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,74.1638,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly agree,401.31638000000004,409.93606,492.48418000000004,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,84.6977,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,424.13928,449.58346,458.8213400000001,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
13,84.6977,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,499.69622,473.3333600000001,529.9701600000001,0000013,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,3
14,10.4337,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly disagree,351.62018,317.71238,401.0071,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,9.9048,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,487.62268000000006,520.5948,488.3812,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,9.9048,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,390.25548,406.61127999999997,421.61508000000003,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,10.4337,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Disagree,513.0160599999999,464.22774,500.03728,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,9.9048,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,372.49572000000006,416.85788,436.3484,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,10.4337,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,447.19582,429.50354000000004,468.89219999999995,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,9.9048,Strongly agree,Agree,Agree,,Agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,350.1402,380.2402,360.25736,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,9.9048,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,452.57048000000003,477.70204,473.64789999999994,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,9.9048,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,489.49215999999996,524.56636,559.06378,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,10.4337,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Agree,341.10454,348.74764,377.04216,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,9.9048,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,552.27448,549.9048399999999,561.5815,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,10.4337,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,,Disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Disagree,428.4234399999999,351.79504000000003,417.79187999999994,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,10.4337,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,493.23102,458.85470000000004,553.1890999999999,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,9.9048,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,466.82507999999996,467.13772,492.85713999999996,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,9.9048,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,367.27682000000004,373.25025999999997,385.9940399999999,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
14,9.9048,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,455.60834000000006,408.99422,449.21668,0000014,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0,0
15,9.165,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly disagree,571.51428,601.0395599999999,612.4021,0000015,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2,2,2
15,8.249,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,502.88985999999994,545.21842,537.98958,0000015,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2,2,2
15,9.165,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,541.91464,577.14164,588.71688,0000015,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2,2,2
15,9.165,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,539.81148,537.52554,574.82282,0000015,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2,2,2
15,9.165,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,410.50786,377.05632,440.1716,0000015,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2,2,2
15,8.249,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,503.12353999999993,537.2753,548.71316,0000015,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2,2,2
