SCHOOLID,SCHSIZE,RATCMP15,PROPQUAL,PROPCERT,SMRATIO,RESPCUR,SC25Q05,SC34Q15,SC27Q02,SC16Q05,SC39Q07,maths,read,scie,ST88Q01math,ST88Q01read,ST88Q01scie,ST88Q02math,ST88Q02read,ST88Q02scie,ST88Q03math,ST88Q03read,ST88Q03scie,ST88Q04math,ST88Q04read,ST88Q04scie,ST89Q02math,ST89Q02read,ST89Q02scie,ST89Q03math,ST89Q03read,ST89Q03scie,ST89Q04math,ST89Q04read,ST89Q04scie,ST89Q05math,ST89Q05read,ST89Q05scie,option
0000003,963.0,,0.94,0.925,137.571,0.03,0.0,3.0,3.0,2.0,1.0,435.01167058498856,506.05644332918445,479.0374013289381,0,0,0,400.2998071584636,456.754412097507,437.8029881144022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
0000004,1459.0,1.293,1.0,1.0,153.579,1.44,10.0,4.0,2.0,1.0,1.0,560.6932535999997,575.5229287999998,592.2901879999998,479.98909999999995,495.7329000000001,528.6646800000001,0,0,0,0,0,0,525.4401,539.0228,566.8966899999999,571.8517966666666,578.2219933333332,603.628935,574.2015914285713,579.5212599999998,605.0953828571426,574.09124,575.7463916666666,600.9480283333331,592.2552381818181,594.4728581818182,619.5907236363636,Strongly Agree
0000004,1459.0,1.293,1.0,1.0,153.579,1.44,10.0,4.0,2.0,1.0,1.0,560.6932535999997,575.5229287999998,592.2901879999998,462.34616000000005,491.84076000000005,485.16412,0,0,0,563.3938333333333,565.5659883333332,591.1335933333332,583.8604166666665,587.9853883333333,611.2131633333332,523.083815,531.337845,546.26538,474.35478,499.9956799999999,498.6696333333333,514.5583479999999,540.865596,551.193584,500.5686280000001,516.0195679999999,535.490484,Agree
0000004,1459.0,1.293,1.0,1.0,153.579,1.44,10.0,4.0,2.0,1.0,1.0,560.6932535999997,575.5229287999998,592.2901879999998,575.514657142857,580.9907328571428,604.8822385714284,521.6856220000001,539.5311479999998,551.1562799999998,561.71912,581.6375250000001,592.1437900000001,444.23585999999995,493.9853999999999,474.39387999999997,507.3298,549.26938,538.73552,0,0,0,0,0,0,444.23585999999995,493.9853999999999,474.39387999999997,Disagree
0000004,1459.0,1.293,1.0,1.0,153.579,1.44,10.0,4.0,2.0,1.0,1.0,560.6932535999997,575.5229287999998,592.2901879999998,0,0,0,606.4329142857143,602.5676000000001,636.5402085714287,454.28414000000004,499.94272,505.16598000000005,480.22277999999994,492.71450999999996,512.29952,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
0000005,1018.0,1.236,1.0,1.0,145.429,1.44,0.0,2.0,3.0,1.0,1.0,426.74492676089346,429.9104267845588,439.9151603887009,340.7519861213963,348.64473054374537,347.0326305635364,338.96245000000005,337.80111,341.79409999999996,377.48718472644595,404.8868006718647,414.22796085313087,379.0326937495891,393.1061122823748,405.334558076914,407.89702598213256,424.5260421527053,436.21093339240207,417.75753483196013,443.9687954672827,452.2285840100205,417.8418632681084,467.17450322719515,449.86415273332295,420.53723218447766,451.7967576013817,462.836751405208,Strongly Agree
0000005,1018.0,1.236,1.0,1.0,145.429,1.44,0.0,2.0,3.0,1.0,1.0,426.74492676089346,429.9104267845588,439.9151603887009,431.8754224112674,417.6075354749901,453.621861571726,413.253962546897,421.96267662298567,414.4485636042699,418.4693736155585,400.99528023211207,426.7966582950295,431.21617740875774,418.8506606806812,447.5602266620029,475.74770111394764,474.3041035919422,489.4312147224058,428.53968158325995,420.55204710023753,441.87146291382913,434.778716997168,418.983579897271,454.9945816336607,455.41624372894285,449.48865779079404,465.80175978510914,Agree
0000005,1018.0,1.236,1.0,1.0,145.429,1.44,0.0,2.0,3.0,1.0,1.0,426.74492676089346,429.9104267845588,439.9151603887009,465.99317109545444,470.6036143746675,476.89385445613607,432.98274769123856,431.5850751004611,450.24846948595496,519.36438,558.8010999999999,536.17119,463.6028567864578,481.28391905887065,469.76402165915954,294.75774,297.42316,333.122,0,0,0,363.92740000000003,321.46124,366.78477999999996,363.92740000000003,321.46124,366.78477999999996,Disagree
0000005,1018.0,1.236,1.0,1.0,145.429,1.44,0.0,2.0,3.0,1.0,1.0,426.74492676089346,429.9104267845588,439.9151603887009,416.33927038529873,440.7140998816516,444.6893960381746,434.1343359615519,441.9330681888308,470.74830024495543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
0000006,1260.0,1.344,1.0,1.0,157.5,0.03,0.0,3.0,2.0,1.0,2.0,485.0781518518521,511.1129259259261,537.7788844444447,0,0,0,347.5697,299.18744000000004,329.85828000000004,465.5300649999999,500.5236749999999,508.5695749999999,452.3660174999999,497.23721749999993,506.1800699999999,474.4945876923076,506.24391384615376,522.8402169230768,486.9930416666666,521.6717066666665,538.2693066666665,489.45018615384595,523.3168938461537,539.6465138461538,485.6493716666666,527.9599949999998,539.2717266666664,Strongly Agree
0000006,1260.0,1.344,1.0,1.0,157.5,0.03,0.0,3.0,2.0,1.0,2.0,485.0781518518521,511.1129259259261,537.7788844444447,487.62268000000006,474.634,525.0279666666668,0,0,0,482.25774749999994,516.8234724999999,541.7428149999998,499.0243849999999,512.3883249999999,545.7525149999999,489.49213199999997,497.86996,538.176052,461.9956333333333,468.4100333333334,504.76189999999986,450.607576,453.48021200000005,494.4796799999999,464.6829733333333,455.8334566666666,502.7570599999999,Agree
0000006,1260.0,1.344,1.0,1.0,157.5,0.03,0.0,3.0,2.0,1.0,2.0,485.0781518518521,511.1129259259261,537.7788844444447,489.68686499999995,507.05924749999997,531.9866649999999,487.46689499999985,492.07726249999985,534.3528524999999,516.7938999999999,465.8717500000001,542.65198,502.38354,496.75816999999995,536.1712,0,0,0,0,0,0,0,0,0,0,0,0,Disagree
0000006,1260.0,1.344,1.0,1.0,157.5,0.03,0.0,3.0,2.0,1.0,2.0,485.0781518518521,511.1129259259261,537.7788844444447,462.2181914285714,512.8778142857142,522.4036942857142,485.39838222222215,537.190571111111,542.5691088888886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly Disagree
0000007,989.0,1.468,1.0,1.0,,1.44,1.0,6.0,4.0,1.0,2.0,473.8531432581459,469.7047627836672,488.2806915685534,552.8976399999999,538.86392,550.4849,0,0,0,482.699054875591,483.22114956309724,473.96253343489786,492.0739300270616,477.67360374383026,510.4057474316235,490.6395652287309,477.4476267725405,500.52648626894734,495.13109366725985,482.2333929256405,510.67340840944854,499.52761283376924,488.7256070628009,505.2707235520643,491.32408310191784,478.25364188600736,504.1281437095454,Strongly Agree
0000007,989.0,1.468,1.0,1.0,,1.44,1.0,6.0,4.0,1.0,2.0,473.8531432581459,469.7047627836672,488.2806915685534,490.2129653186768,493.25723835394047,487.4562651061127,0,0,0,491.2575130523077,477.36815195733834,506.8859333399746,444.85900000000004,458.40029999999996,447.07198000000005,501.450631230819,494.00643503294367,535.1336059449292,451.55788,449.95310000000006,440.82433999999995,470.54448,453.9428,510.038235,514.9634,519.40332,551.04436,Agree
0000007,989.0,1.468,1.0,1.0,,1.44,1.0,6.0,4.0,1.0,2.0,473.8531432581459,469.7047627836672,488.2806915685534,497.314635503916,482.1545669419388,524.8775151481449,471.248450039741,459.25418063953475,491.5084311725499,533.8136999999999,509.85842,585.4532000000002,537.9851241867516,518.5549596455852,530.775256870988,0,0,0,0,0,0,0,0,0,0,0,0,Disagree
