SCHOOLID,W_FSTUWT,ST86Q01,ST86Q02,ST86Q03,ST86Q04,ST86Q05,ST87Q01,ST87Q02,ST87Q03,ST87Q04,ST87Q05,ST87Q06,ST87Q07,ST87Q08,ST87Q09,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q04,ST89Q05,ST91Q01,ST91Q02,ST91Q03,ST91Q04,ST91Q05,ST91Q06,maths,read,scie,ave,SCHOOLID,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,schoolmath,schoolread,schoolscie,schoolave
2,8.8431,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,462.69668,457.89238000000006,454.99814,458.52906666666667,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,8.8431,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,382.15454,400.23254000000003,436.53489999999994,406.3073266666666,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,8.8431,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,509.97817999999995,531.83172,517.19506,519.66832,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,8.8431,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,368.52314000000007,388.7647,381.05183999999997,379.44656000000003,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,8.8431,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,391.57968,419.6396,403.89777999999995,405.03902,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
2,8.8431,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,380.59666000000004,399.51077999999995,371.6337,383.91371333333336,0000002,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,407.6582541666667,423.3452533333333,434.89136916666666,421.96495888888893
3,152.051,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,390.48915999999997,428.3754,452.2006600000001,423.68840666666665,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,434.1998673684211,504.8035115789474,478.45756210526315,472.4869803508772
3,152.051,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,403.34164,454.66706000000005,436.72136,431.5766866666667,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,434.1998673684211,504.8035115789474,478.45756210526315,472.4869803508772
3,152.051,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,385.73765999999995,447.9154199999999,405.85604,413.16970666666657,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,434.1998673684211,504.8035115789474,478.45756210526315,472.4869803508772
3,152.051,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,382.31034,446.40622,431.5926799999999,420.10308000000003,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,434.1998673684211,504.8035115789474,478.45756210526315,472.4869803508772
3,152.051,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Disagree,417.98567999999995,509.47447999999997,473.74114,467.0670999999999,0000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,434.1998673684211,504.8035115789474,478.45756210526315,472.4869803508772
